p/c, iter, r∞, r₂, ω
, 1, 0.0021893457, 2.6176836e-5, 1.0
c, 0, 0.0421995, 0.016301872, 1.0
, 1, 0.0011003036, 1.220776e-5, 1.0
p, 0, 0.08443927, 0.042963192, 1.0
, 1, 0.0021987893, 2.6888769e-5, 1.0
c, 0, 0.04238034, 0.015339467, 1.0
, 1, 0.0011049155, 1.1191434e-5, 1.0
p, 0, 0.08480057, 0.042442754, 1.0
, 1, 0.0022080094, 2.6100803e-5, 1.0
c, 0, 0.042561695, 0.013401066, 1.0
, 1, 0.0011094976, 1.0520349e-5, 1.0
p, 0, 0.08516383, 0.042415358, 1.0
, 1, 0.0022173487, 2.5929432e-5, 1.0
c, 0, 0.042742275, 0.014999745, 1.0
, 1, 0.0011141691, 1.0264807e-5, 1.0
p, 0, 0.085525, 0.043150324, 1.0
, 1, 0.0022266582, 2.6401254e-5, 1.0
c, 0, 0.04292267, 0.013620797, 1.0
, 1, 0.0011188854, 8.964609e-6, 1.0
p, 0, 0.08588557, 0.0438595, 1.0
, 1, 0.0022360496, 2.6917549e-5, 1.0
c, 0, 0.043103628, 0.013061966, 1.0
, 1, 0.0011233538, 8.237336e-6, 1.0
p, 0, 0.08624929, 0.04368398, 1.0
, 1, 0.0022452138, 2.6585867e-5, 1.0
c, 0, 0.043284126, 0.016034724, 1.0
, 1, 0.0011274107, 8.601896e-6, 1.0
p, 0, 0.08661239, 0.0459143, 1.0
, 1, 0.0022536851, 2.7921627e-5, 1.0
c, 0, 0.043470025, 0.015383919, 1.0
, 1, 0.0011326149, 9.58764e-6, 1.0
p, 0, 0.08698317, 0.045082044, 1.0
, 1, 0.0022641085, 2.781217e-5, 1.0
c, 0, 0.04364965, 0.01741945, 1.0
, 1, 0.0011373777, 1.13337355e-5, 1.0
p, 0, 0.08734244, 0.04492525, 1.0
, 1, 0.0022736527, 2.7482192e-5, 1.0
c, 0, 0.04383163, 0.016212277, 1.0
, 1, 0.0011420771, 1.1760955e-5, 1.0
p, 0, 0.08770601, 0.045590073, 1.0
, 1, 0.002283141, 2.8133538e-5, 1.0
c, 0, 0.044010878, 0.015128, 1.0
, 1, 0.0011466648, 1.09108105e-5, 1.0
p, 0, 0.088065125, 0.045911305, 1.0
, 1, 0.0022922605, 2.812968e-5, 1.0
c, 0, 0.0441889, 0.01547666, 1.0
, 1, 0.0011512544, 1.2431356e-5, 1.0
p, 0, 0.088419765, 0.0462932, 1.0
, 1, 0.002301585, 2.826371e-5, 1.0
c, 0, 0.044365935, 0.015882248, 1.0
, 1, 0.0011558738, 1.138875e-5, 1.0
p, 0, 0.08877282, 0.046181876, 1.0
, 1, 0.002310764, 2.822074e-5, 1.0
c, 0, 0.044542044, 0.014928066, 1.0
, 1, 0.0011604168, 1.2630719e-5, 1.0
p, 0, 0.089125365, 0.04689632, 1.0
, 1, 0.0023198798, 2.8963537e-5, 1.0
c, 0, 0.044718556, 0.0155071085, 1.0
, 1, 0.0011649113, 1.1940121e-5, 1.0
p, 0, 0.08947789, 0.046413556, 1.0
, 1, 0.0023288466, 2.8480903e-5, 1.0
c, 0, 0.044891454, 0.017763129, 1.0
, 1, 0.0011694189, 1.540995e-5, 1.0
p, 0, 0.08982198, 0.051915016, 1.0
, 1, 0.0023379587, 3.1375246e-5, 1.0
c, 0, 0.045063697, 0.019825654, 1.0
, 1, 0.0011738166, 1.4345335e-5, 1.0
p, 0, 0.090163276, 0.051990293, 1.0
, 1, 0.0023468025, 3.1759093e-5, 1.0
c, 0, 0.04523018, 0.016728781, 1.0
, 1, 0.0011782944, 1.1066901e-5, 1.0
p, 0, 0.090492405, 0.04781775, 1.0
, 1, 0.002355598, 2.9325452e-5, 1.0
c, 0, 0.045395397, 0.01632083, 1.0
, 1, 0.0011827461, 1.04540695e-5, 1.0
p, 0, 0.09082256, 0.0482709, 1.0
, 1, 0.002364263, 2.9624116e-5, 1.0
c, 0, 0.04556015, 0.016105799, 1.0
, 1, 0.0011871327, 1.0454699e-5, 1.0
p, 0, 0.09115249, 0.04837216, 1.0
, 1, 0.0023728795, 2.9575485e-5, 1.0
c, 0, 0.045725085, 0.015239146, 1.0
, 1, 0.0011913218, 9.332521e-6, 1.0
p, 0, 0.09148398, 0.04845305, 1.0
, 1, 0.002381295, 2.962624e-5, 1.0
c, 0, 0.045891896, 0.015852531, 1.0
, 1, 0.0011955891, 1.0705619e-5, 1.0
p, 0, 0.09181883, 0.049031027, 1.0
, 1, 0.0023898743, 3.000066e-5, 1.0
c, 0, 0.046057656, 0.019247092, 1.0
, 1, 0.0011998136, 1.2459441e-5, 1.0
p, 0, 0.092150025, 0.05473097, 1.0
, 1, 0.0023983344, 3.355242e-5, 1.0
c, 0, 0.04622472, 0.018297594, 1.0
, 1, 0.0012040827, 1.4321462e-5, 1.0
p, 0, 0.0924856, 0.050954584, 1.0
, 1, 0.0024070293, 3.1438376e-5, 1.0
c, 0, 0.046391435, 0.017114028, 1.0
, 1, 0.0012083836, 1.2173578e-5, 1.0
p, 0, 0.092818715, 0.051107876, 1.0
, 1, 0.0024155676, 3.1530628e-5, 1.0
c, 0, 0.046557486, 0.01751003, 1.0
, 1, 0.0012126267, 1.661983e-5, 1.0
p, 0, 0.093151666, 0.050627384, 1.0
, 1, 0.0024240464, 3.1054027e-5, 1.0
c, 0, 0.046721295, 0.016089568, 1.0
, 1, 0.0012168791, 1.3405015e-5, 1.0
p, 0, 0.093478374, 0.050784223, 1.0
, 1, 0.002432514, 3.108269e-5, 1.0
c, 0, 0.04688511, 0.016887844, 1.0
, 1, 0.0012211595, 1.342599e-5, 1.0
p, 0, 0.09380707, 0.05227886, 1.0
, 1, 0.0024404414, 3.1920903e-5, 1.0
c, 0, 0.047048755, 0.017214704, 1.0
, 1, 0.0012254138, 1.3414971e-5, 1.0
p, 0, 0.09413368, 0.05176106, 1.0
, 1, 0.0024484247, 3.1685122e-5, 1.0
c, 0, 0.04720927, 0.019540714, 1.0
, 1, 0.0012293775, 1.4869772e-5, 1.0
p, 0, 0.094454676, 0.057065893, 1.0
, 1, 0.0024568476, 3.6452708e-5, 1.0
c, 0, 0.047371387, 0.019703766, 1.0
, 1, 0.0012331922, 1.2548838e-5, 1.0
p, 0, 0.09477916, 0.05321285, 1.0
, 1, 0.0024644732, 3.249261e-5, 1.0
c, 0, 0.047531098, 0.017850181, 1.0
, 1, 0.0012367778, 1.09772745e-5, 1.0
p, 0, 0.0950986, 0.05299523, 1.0
, 1, 0.002472058, 3.232472e-5, 1.0
c, 0, 0.047688656, 0.017021583, 1.0
, 1, 0.0012404509, 1.0492007e-5, 1.0
p, 0, 0.09541335, 0.05400619, 1.0
, 1, 0.0024801455, 3.2848857e-5, 1.0
c, 0, 0.047847144, 0.018007418, 1.0
, 1, 0.001244124, 1.1245017e-5, 1.0
p, 0, 0.09573073, 0.055575054, 1.0
, 1, 0.0024881177, 3.37432e-5, 1.0
c, 0, 0.04800067, 0.018369086, 1.0
, 1, 0.0012481008, 1.1589781e-5, 1.0
p, 0, 0.096037365, 0.054875907, 1.0
, 1, 0.0024962425, 3.3622036e-5, 1.0
c, 0, 0.048156068, 0.020445822, 1.0
, 1, 0.0012520105, 1.2752591e-5, 1.0
p, 0, 0.09634792, 0.060318384, 1.0
, 1, 0.0025044717, 3.6782745e-5, 1.0
c, 0, 0.04830841, 0.020064266, 1.0
, 1, 0.0012561195, 1.3440133e-5, 1.0
p, 0, 0.0966524, 0.057484966, 1.0
, 1, 0.0025124662, 3.4860743e-5, 1.0
c, 0, 0.048462167, 0.01865306, 1.0
, 1, 0.0012599826, 1.5908288e-5, 1.0
p, 0, 0.096960336, 0.056866396, 1.0
, 1, 0.0025201216, 3.512022e-5, 1.0
c, 0, 0.048610874, 0.017097874, 1.0
, 1, 0.0012637954, 1.360395e-5, 1.0
p, 0, 0.09725589, 0.056442514, 1.0
, 1, 0.0025277808, 3.472956e-5, 1.0
c, 0, 0.04876014, 0.018360447, 1.0
, 1, 0.0012676977, 1.3405892e-5, 1.0
p, 0, 0.09755475, 0.05713961, 1.0
, 1, 0.002535496, 3.487711e-5, 1.0
c, 0, 0.048906207, 0.01930098, 1.0
, 1, 0.001271436, 1.4983115e-5, 1.0
p, 0, 0.09784611, 0.058297966, 1.0
, 1, 0.0025429092, 3.5656783e-5, 1.0
c, 0, 0.04905258, 0.0221644, 1.0
, 1, 0.0012752488, 1.8692492e-5, 1.0
p, 0, 0.09813881, 0.06682463, 1.0
, 1, 0.0025505535, 4.1098083e-5, 1.0
c, 0, 0.049197055, 0.021078372, 1.0
, 1, 0.0012789443, 1.3323547e-5, 1.0
p, 0, 0.098427415, 0.06403346, 1.0
, 1, 0.0025578104, 3.81207e-5, 1.0
c, 0, 0.049340107, 0.019345798, 1.0
, 1, 0.0012825988, 1.1871573e-5, 1.0
p, 0, 0.09871351, 0.05879707, 1.0
, 1, 0.0025649443, 3.6070574e-5, 1.0
c, 0, 0.049483247, 0.018544994, 1.0
, 1, 0.0012861565, 1.0835557e-5, 1.0
p, 0, 0.09899975, 0.058514394, 1.0
, 1, 0.0025719032, 3.5776033e-5, 1.0
c, 0, 0.049623206, 0.020376975, 1.0
, 1, 0.0012896731, 1.44546975e-5, 1.0
p, 0, 0.09927897, 0.061148904, 1.0
, 1, 0.002578836, 3.8190658e-5, 1.0
c, 0, 0.049763307, 0.018866846, 1.0
, 1, 0.0012931619, 1.1561262e-5, 1.0
p, 0, 0.09955945, 0.058483303, 1.0
, 1, 0.0025858395, 3.5664612e-5, 1.0
c, 0, 0.049901217, 0.021609709, 1.0
, 1, 0.0012966804, 1.3517631e-5, 1.0
p, 0, 0.09983451, 0.06451086, 1.0
, 1, 0.0025928319, 3.968325e-5, 1.0
c, 0, 0.050038405, 0.020975854, 1.0
, 1, 0.001300009, 1.4111716e-5, 1.0
p, 0, 0.10010873, 0.06344861, 1.0
, 1, 0.0025995523, 3.8354352e-5, 1.0
c, 0, 0.050174356, 0.020653047, 1.0
, 1, 0.0013034455, 1.5467725e-5, 1.0
p, 0, 0.100381486, 0.060460802, 1.0
, 1, 0.0026064068, 3.685854e-5, 1.0
c, 0, 0.05030781, 0.018673819, 1.0
, 1, 0.0013067909, 1.4341073e-5, 1.0
p, 0, 0.10064682, 0.060161777, 1.0
, 1, 0.0026130453, 3.666019e-5, 1.0
c, 0, 0.050440937, 0.020567901, 1.0
, 1, 0.00131003, 1.5474146e-5, 1.0
p, 0, 0.100912765, 0.06618181, 1.0
, 1, 0.0026195906, 4.067549e-5, 1.0
c, 0, 0.050570168, 0.019388352, 1.0
, 1, 0.001313258, 1.3864965e-5, 1.0
p, 0, 0.10116982, 0.060775183, 1.0
